阿根廷地理	agentingdili	agtdl
阿帕克和卓传	apakehezhuochuan	apkhzc
暗黑传说	anheichuanshuo	ahcs
暗黑圣经传承	anheishengjingchuancheng	ahsjcc
安乐集	anleji	alj
安流传授纪要	anliuchuanshoujiyao	alcsjy
暗行者	anxingzhe	axz
暗夜行者	anyexingzhe	ayxz
八大人觉经	badarenjuejing	bdrjj
八奇屠龙	baqitulong	bqtl
八重法	bazhongfa	bzf
八周强身法	bazhouqiangshenfa	bzqsf
白毛女新传	baimaonvxinzhuan	bmnxz
百战奇法	baizhanqifa	bzqf
薄壁弹性杆件	baobitanxingganjian	bbtxgj
宝行王正论	baoxingwangzhenglun	bxwzl
碑传集	beichuanji	bcj
本朝高僧传	benchaogaosengchuan	bcgsc
彼岸天都	biantiandu	batd
比丘尼传	biqiunichuan	bqnc
比翼传奇	biyichuanqi	bycq
边荒传说	bianhuangchuanshuo	bhcs
病后奇遇	binghouqiyu	bhqy
并行排序算法	bingxingpaixusuanfa	bxpxsf
渤海地质	bohaidizhi	bhdz
渤海国志长编	bohaiguozhichangbian	bhgzcb
波兰自然地理	bolanzirandili	blzrdl
不灭传说	bumiechuanshuo	bmcs
不死传说	busichuanshuo	bscs
补续高僧传	buxugaosengchuan	bxgsc
採花行	caihuaxing	chx
残兵传说	canbingchuanshuo	cbcs
曹溪宝林传	caoxibaolinchuan	cxblc
曾胡治兵语录	cenghuzhibingyulu	chzbyl
曾经	cengjing	cj
查理大帝传	chalidadizhuan	clddz
禅林僧宝传	chanlinsengbaochuan	clsbc
长阿含经	changahanjing	cahj
长安乱	changanluan	cal
长坂坡救阿斗	changbanpojiuadou	cbpjad
长壁开采法	changbikaicaifa	cbkcf
长刀无痕	changdaowuhen	cdwh
昌都卡若	changdukaruo	cdkr
长短经	changduanjing	cdj
长短要术	changduanyaoshu	cdys
长沙发掘报告	changshafajuebaogao	csfjbg
长生殿	changshengdian	csd
长水集	changshuiji	csj
长松茹退	changsongrutui	csrt
长兴学记	changxingxueji	cxxj
超常感觉	chaochangganjue	ccgj
朝汉词典	chaohancidian	chcd
朝话	chaohua	ch
超级艳遇传说	chaojiyanyuchuanshuo	cjyycs
朝觐途记	chaojintuji	cjtj
朝宋	chaosong	cs
朝鲜佛教通史	chaoxianfojiaotongshi	cxfjts
朝鲜通史	chaoxiantongshi	cxts
陈阿娇新传	chenajiaoxinzhuan	cajxz
成都的私处	chengdudesichu	cddsc
